Datetime,yhat,date,hour
2018-08-03 01:00:00,24861.935546875,2018-08-03,1
2018-08-03 02:00:00,23591.080078125,2018-08-03,2
2018-08-03 03:00:00,22696.3828125,2018-08-03,3
2018-08-03 04:00:00,22116.4609375,2018-08-03,4
2018-08-03 05:00:00,22030.26171875,2018-08-03,5
2018-08-03 06:00:00,22648.49609375,2018-08-03,6
2018-08-03 07:00:00,23759.171875,2018-08-03,7
2018-08-03 08:00:00,25525.8046875,2018-08-03,8
2018-08-03 09:00:00,27467.400390625,2018-08-03,9
2018-08-03 10:00:00,28985.1953125,2018-08-03,10
2018-08-03 11:00:00,28802.638671875,2018-08-03,11
2018-08-03 12:00:00,28110.671875,2018-08-03,12
2018-08-03 13:00:00,27561.447265625,2018-08-03,13
2018-08-03 14:00:00,27093.392578125,2018-08-03,14
2018-08-03 15:00:00,26873.185546875,2018-08-03,15
2018-08-03 16:00:00,26809.900390625,2018-08-03,16
2018-08-03 17:00:00,26800.556640625,2018-08-03,17
2018-08-03 18:00:00,26813.02734375,2018-08-03,18
2018-08-03 19:00:00,27022.76953125,2018-08-03,19
2018-08-03 20:00:00,27200.701171875,2018-08-03,20
2018-08-03 21:00:00,28014.099609375,2018-08-03,21
2018-08-03 22:00:00,27786.087890625,2018-08-03,22
2018-08-03 23:00:00,26550.158203125,2018-08-03,23
2018-08-04 00:00:00,24783.748046875,2018-08-04,0
2018-08-04 01:00:00,23399.4140625,2018-08-04,1
2018-08-04 02:00:00,22323.826171875,2018-08-04,2
2018-08-04 03:00:00,21732.251953125,2018-08-04,3
2018-08-04 04:00:00,21283.03515625,2018-08-04,4
2018-08-04 05:00:00,20964.484375,2018-08-04,5
2018-08-04 06:00:00,20785.474609375,2018-08-04,6
2018-08-04 07:00:00,20856.982421875,2018-08-04,7
2018-08-04 08:00:00,21053.69921875,2018-08-04,8
2018-08-04 09:00:00,22535.5625,2018-08-04,9
2018-08-04 10:00:00,23743.857421875,2018-08-04,10
2018-08-04 11:00:00,24721.974609375,2018-08-04,11
2018-08-04 12:00:00,25405.583984375,2018-08-04,12
2018-08-04 13:00:00,25835.255859375,2018-08-04,13
2018-08-04 14:00:00,26153.76171875,2018-08-04,14
2018-08-04 15:00:00,26054.54296875,2018-08-04,15
2018-08-04 16:00:00,25926.017578125,2018-08-04,16
2018-08-04 17:00:00,26085.29296875,2018-08-04,17
2018-08-04 18:00:00,26189.515625,2018-08-04,18
2018-08-04 19:00:00,26354.13671875,2018-08-04,19
2018-08-04 20:00:00,26533.875,2018-08-04,20
2018-08-04 21:00:00,27280.65625,2018-08-04,21
2018-08-04 22:00:00,27046.130859375,2018-08-04,22
2018-08-04 23:00:00,25760.408203125,2018-08-04,23
2018-08-05 00:00:00,24243.140625,2018-08-05,0
2018-08-05 01:00:00,22918.580078125,2018-08-05,1
2018-08-05 02:00:00,21970.5078125,2018-08-05,2
2018-08-05 03:00:00,21242.599609375,2018-08-05,3
2018-08-05 04:00:00,20623.216796875,2018-08-05,4
2018-08-05 05:00:00,20444.798828125,2018-08-05,5
2018-08-05 06:00:00,18567.369140625,2018-08-05,6
2018-08-05 07:00:00,18489.5625,2018-08-05,7
2018-08-05 08:00:00,18376.900390625,2018-08-05,8
2018-08-05 09:00:00,19099.08984375,2018-08-05,9
2018-08-05 10:00:00,19334.009765625,2018-08-05,10
2018-08-05 11:00:00,20631.927734375,2018-08-05,11
2018-08-05 12:00:00,21290.88671875,2018-08-05,12
2018-08-05 13:00:00,21663.10546875,2018-08-05,13
2018-08-05 14:00:00,22138.119140625,2018-08-05,14
2018-08-05 15:00:00,22402.197265625,2018-08-05,15
2018-08-05 16:00:00,22853.466796875,2018-08-05,16
2018-08-05 17:00:00,23509.953125,2018-08-05,17
2018-08-05 18:00:00,24339.58984375,2018-08-05,18
2018-08-05 19:00:00,25009.171875,2018-08-05,19
2018-08-05 20:00:00,25430.4296875,2018-08-05,20
2018-08-05 21:00:00,26222.693359375,2018-08-05,21
2018-08-05 22:00:00,25988.02734375,2018-08-05,22
2018-08-05 23:00:00,25491.384765625,2018-08-05,23
2018-08-06 00:00:00,24005.09375,2018-08-06,0
2018-08-06 01:00:00,23094.966796875,2018-08-06,1
2018-08-06 02:00:00,22315.154296875,2018-08-06,2
2018-08-06 03:00:00,21959.541015625,2018-08-06,3
2018-08-06 04:00:00,21811.654296875,2018-08-06,4
2018-08-06 05:00:00,22112.830078125,2018-08-06,5
2018-08-06 06:00:00,23133.546875,2018-08-06,6
2018-08-06 07:00:00,24865.46484375,2018-08-06,7
2018-08-06 08:00:00,26698.396484375,2018-08-06,8
2018-08-06 09:00:00,28117.77734375,2018-08-06,9
2018-08-06 10:00:00,28409.45703125,2018-08-06,10
2018-08-06 11:00:00,27924.021484375,2018-08-06,11
2018-08-06 12:00:00,27577.638671875,2018-08-06,12
2018-08-06 13:00:00,27453.056640625,2018-08-06,13
2018-08-06 14:00:00,27157.359375,2018-08-06,14
2018-08-06 15:00:00,26817.541015625,2018-08-06,15
2018-08-06 16:00:00,26633.26953125,2018-08-06,16
2018-08-06 17:00:00,26559.248046875,2018-08-06,17
2018-08-06 18:00:00,26557.74609375,2018-08-06,18
2018-08-06 19:00:00,26503.271484375,2018-08-06,19
2018-08-06 20:00:00,26225.904296875,2018-08-06,20
2018-08-06 21:00:00,26530.6328125,2018-08-06,21
2018-08-06 22:00:00,26268.4375,2018-08-06,22
2018-08-06 23:00:00,25498.015625,2018-08-06,23
2018-08-07 00:00:00,24024.6640625,2018-08-07,0
2018-08-07 01:00:00,23068.771484375,2018-08-07,1
2018-08-07 02:00:00,22264.9609375,2018-08-07,2
